Year,Make,Model,Body Type,Mileage,Price Sold,Year Sold
2011,Bmw,Z4,Convertible,34011,17700,2019
1975,Amc,Hornet,Sedan,83751,1500,2019
2004,Ford,Mustang,Coupe,59500,5700,2019
1955,Austin Healey,100,Convertible,0,26000,2019
2018,Lexus,Ls,Sedan,14800,40200,2020
2013,Bmw,M6,Coupe,24000,30100,2020
1974,Chevrolet,Camaro,Coupe,21000,10000,2019
1966,Ford,F-100,Standard Cab Pickup,0,5500,2019
1964,Volkswagen,Beetle - Classic,Coupe,977,4650,2019
2004,Dodge,Dakota,Crew Cab Pickup,187000,660,2019
1991,Gmc,Jimmy,Suv,286000,5800,2019
1973,Mercedes-Benz,200-Series,Sedan,999999,1800,2019
1984,Oldsmobile,Cutlass,Coupe,137000,4650,2020
1967,Pontiac,Gto,Coupe,810,32000,2020
1922,Studebaker,Special Six,Convertible,60500,1850,2019
2004,Jeep,Wrangler,Suv,114000,10450,2020
1989,Pontiac,Trans Am,Coupe,115802,5700,2019
1989,Pontiac,Trans Am,Coupe,115802,5000,2019
1986,Pontiac,Firebird,Coupe,74000,4550,2019
1990,Chevrolet,Corvette,Coupe,30800,9500,2020
1925,Ford,Model T,Wagon,999999,5660,2019
2012,Dodge,Challenger,Coupe,103000,13030,2019
1947,Hudson,Pickup,Standard Cab Pickup,999999,33100,2020
1930,Ford,Other,Sedan,676,16600,2020
1928,Willys,Knight Model 56,Sedan,86039,5760,2020
1965,Chevrolet,C-10,Standard Cab Pickup,100000,11900,2019
1962,Oldsmobile,Eighty-Eight,Convertible,101000,16000,2020
1932,Ford,Dearborn Duce,Convertible,0,31450,2019
1990,Land Rover,Range Rover,Suv,102830,3050,2019
1963,Volkswagen,Beetle - Classic,Convertible,38903,16880,2019
1939,Dodge,Other,Coupe,100,5800,2020
1939,Cadillac,La Salle,Sedan,0,1430,2020
1975,Chrysler,New Yorker,Sedan,127000,2230,2019
1928,Dodge,Victory Six,Coupe,0,8000,2020
1967,Plymouth,Fury,Sedan,91000,1600,2019
2003,Dodge,Ram 1500,Extended Cab Pickup,190049,3500,2019
1942,Hudson,Model 20,Sedan,77726,5000,2019
1951,Kaiser,Deluxe,Sedan,112638,5500,2019
1987,Amc,Eagle,Sedan,101091,3060,2019
1982,Chrysler,Lebaron,Convertible,50672,4150,2019
1976,Chevrolet,Monte Carlo,Coupe,20661,5100,2019
2004,Chevrolet,Monte Carlo,Coupe,113392,5200,2019
1971,Volkswagen,Beetle - Classic,Sedan,65356,3050,2019
1999,Ford,Mustang,Coupe,117000,3300,2020
2013,Mercedes-Benz,Glk-Class,Suv,47100,14000,2020
1964,Chevrolet,Impala,Convertible,89990,40100,2019
2016,Jaguar,F-Type,Convertible,10992,43200,2020
1958,Bmw,Isetta,Coupe,123456,8000,2020
1958,Bmw,Isetta,Coupe,123456,5000,2020
1988,Ford,Thunderbird,Coupe,139760,2000,2020
1978,Ford,Pinto,Wagon,27817,5000,2020
1983,Mercedes-Benz,300-Series,Wagon,220000,4420,2020
1949,Plymouth,Special Deluxe,Sedan,75000,4100,2020
1986,Chevrolet,C10,Pickup,68000,15000,2020
2003,Lexus,Is,Sedan,177403,6400,2020
2014,Nissan,Sentra,Sedan,40500,7200,2019
2007,Dodge,Ram 2500,Crew Cab Pickup,190973,12200,2020
2011,Chevrolet,Suburban,Suv,159748,7400,2020
1993,Mercedes-Benz,600 Sec Super Rare,Coupe,133267,6100,2019
1972,Pontiac,Catalina,Sedan,40000,1880,2020
1994,Ford,F-150,Pickup,175150,7700,2020
1965,Chevrolet,Impala,Convertible,61613,20000,2019
1980,Chevrolet,C-10,Extended Crew Cab Pickup,999999,1500,2019
1976,Mercedes-Benz,Sl-Class,Convertible,103753,9500,2020
2014,Maserati,Ghibli,Sedan,82000,17000,2020
1949,Ford,Other,Coupe,0,2500,2020
1953,Cadillac,Coupe Deville Series 62,Coupe,86440,14910,2019
1931,Ford,Model A,Sedan,5500,20600,2020
2005,Mini,Cooper,Hatchback,114000,3500,2020
1965,Dodge,A100,Van,104090,7400,2019
1939,Buick,Special Classic,Sedan,33545,8400,2020
1960,Lincoln,Continental,Convertible,50000,7500,2019
1958,Ford,Fairlane,Country Squire Wagon,110237,2100,2020
1958,Ford,Country Squire,Wagon,1000000000,1380,2019
1956,Ford,Crown Victoria,Coupe,53575,40000,2019
1961,Chevrolet,Impala,Bubbletop,29157,33000,2020
1949,Ford,Panel Truck,Minivan,9999,8000,2020
1975,Mg,Midget,Coupe Convertible,62000,1200,2019
1969,Chevrolet,Camaro,Convertible,65247,29570,2020
1968,Buick,Riviera,Coupe,76142,10350,2019
2011,Chevrolet,Silverado 1500,Crew Cab Pickup,187660,7500,2019
1961,Chevrolet,Impala,Sedan,86000,4500,2019
1975,Cadillac,Deville,Coupe,30146,10600,2020
1967,Dodge,A100,Wagon,47320,1530,2020
1989,Buick,Reatta,Coupe,109000,2180,2020
2008,Dodge,Ram 2500,Extended Cab Pickup,112000,17500,2019
1969,Chevrolet,C-10,Standard Cab Pickup,55500,6000,2019
1995,Pontiac,Trans Am,Convertible,27544,5310,2019
1999,Jaguar,Xk8,Convertible,54000,6100,2019
1988,Jeep,Wagoneer,Wagon,141000,10000,2019
2017,Mercedes-Benz,E-Class,Sedan,46000,24500,2020
1969,Porsche,Speedster 356,Convertible,4200,13100,2020
2015,Chevrolet,Camaro,Convertible,66723,18000,2020
1960,Henney,Kilowatt,Sedan,13,7150,2019
1960,Henney,Kilowatt,Sedan,696,6770,2019
1972,Ford,Ltd,Convertible,75000,5200,2019
1962,Ford,Falcon,Coupe,12345,130,2020
1988,Jeep,Wrangler,Suv,137000,9800,2019
1965,Ford,Mustang,Fastback,99999,14800,2019
2004,Saab,3-Sep,Convertible,144000,610,2019
2002,Aston Martin,Db7,Coupe,46210,29700,2019
1972,Volkswagen,Other,Sedan,72500,1500,2019
2010,Chevrolet,Corvette,Coupe,33819,32600,2020
2013,Ram,5500,Cab & Chassis,63000,30330,2019
2009,Gmc,Sierra 1500,Crew Cab Pickup,108848,9600,2020
1971,Jaguar,E-Type,Coupe,66845,25600,2019
1966,Lincoln,Continental,Convertible,82092,18510,2019
2000,Jeep,Wrangler,Suv,182912,2030,2019
2008,Ford,E-Series Van,Standard Cargo Van,42699,23900,2020
1976,Pontiac,Grand Prix,Coupe,47000,7600,2019
1971,Plymouth,Barracuda,Coupe,92419,68100,2019
1981,Chevrolet,Corvette,Coupe,42600,8000,2020
1970,Chevrolet,Chevelle,Coupe,7632,70000,2020
2015,Gmc,Sierra 3500,Crew Cab Pickup,35261,48000,2020
2003,Ford,F-250,Cab & Chassis,146000,3500,2019
2003,Mercedes-Benz,Clk-Class,Convertible,61000,8400,2019
1979,Fiat,124 Spider 2000,Convertible,113000,2950,2020
1967,Chevrolet,Camaro,Coupe,134707,20000,2019
2000,Ford,F-250 Super Duty,Pickup,125000,22000,2020
1971,Dodge,Challenger,Coupe,111111,8500,2020
1996,Buick,Roadmaster,Sedan,34228,6200,2020
2003,Chevrolet,Ss,Extended Cab Pickup,41000,20000,2020
1991,Cadillac,Brougham,Sedan,79747,4550,2019
1963,Amc,770 Rambler American Classic,Sedan,69708,3000,2020
1985,Maserati,Biturbo,Coupe,33501,5810,2020
1957,Chevrolet,Bel Air/150/210,Coupe,836,26150,2019
2001,Dodge,Durango,Suv,160154,2030,2020
1970,Chevrolet,Nova,Coupe,500,25810,2019
1970,Pontiac,Gto,Coupe,65123,15100,2019
1964,Pontiac,Le Mans,Coupe,97663,19500,2019
1963,Cadillac,Deville,Coupe,99999,610,2019
1969,Pontiac,Gto,2Dr Hardtop,999999,7200,2019
2013,Bmw,5-Series,4Dr Car,35152,16000,2020
1940,Ford,Pickup,Pickup,100000,3750,2020
1986,Jeep,J10,Truck,152000,11500,2019
1969,Dodge,Coronet,Coupe,0,15000,2019
1967,Chevrolet,Camaro,Coupe,1000,16000,2020
1976,Chevrolet,Cheyenne,Standard Cab Pickup,58500,5500,2019
1949,Willys,439,Suv,14050,8500,2019
2003,Buick,Lesabre,Sedan,22734,6300,2019
1948,Chrysler,New Yorker,Sedan,95323,8700,2019
2005,Chevrolet,Silverado 3500,Crew Cab Pickup,250000,6500,2020
1967,Buick,Riviera,Coupe,93081,4980,2019
1987,Ford,Bronco,Suv,95450,8000,2019
1995,Chevrolet,Suburban,Suv,155820,7060,2019
1999,Chevrolet,Suburban,Suv,114835,10500,2019
1969,Plymouth,Road Runner,Rm23 Hardtop,91330,24610,2020
1969,Dodge,Charger,Coupe,1000000,9500,2019
2006,Toyota,Corolla,Sedan,105000,2850,2019
2006,Ford,F 350,Flatbed,191200,2600,2019
1986,Ford,F-150,Pickup,86000,10000,2020
2002,International Harvester,Other,Straight Truck - Medium Conventional,141000,15000,2020
1989,Land Rover,Defender,Suv,99999,6300,2019
2014,Porsche,Cayenne,Suv,69400,22100,2020
1969,Chevrolet,Camaro,Coupe,92632,32700,2019
1991,Ford,Mustang,Convertible,103108,5400,2019
2005,Chevrolet,Corvette,Coupe,59174,9950,2019
2006,Honda,Accord,Sedan,164662,1630,2019
2007,Bmw,5-Series,Sedan,107741,4490,2019
2012,Fisker,Karma,Sedan,13360,31800,2019
2015,Chevrolet,Impala,Sedan,94027,4300,2019
1972,Buick,Gs,Coupe,123456,10800,2020
1987,Nissan,Sentra,2Dr Sedan,48379,700,2020
1987,Alfa Romeo,Milano,Sedan,138825,920,2019
1975,Cadillac,Deville,Coupe,89351,5000,2019
1999,Land Rover,Range Rover,Suv,132000,2000,2019
1978,Chevrolet,C/K Pickup 1500,Pickup,60000,1250,2019
1966,Ford,Mustang,Convertible,70722,2100,2019
1965,Ford,Mustang,Coupe,65562,3950,2019
2012,Chevrolet,Camaro,Convertible,44440,20600,2020
2005,Hummer,H2,Crew Cab Pickup,148407,9400,2019
1964,International Harvester,Scout,Suv,100000,13800,2019
1974,Pontiac,Grand Ville,Convertible,114000,930,2019
1960,Chevrolet,Bel Air/150/210,Coupe,83099,2550,2019
1951,Chevrolet,Other,Tin Woody Station Wagon,36088,17560,2019
1952,Chevrolet,Bel Air/150/210,Coupe Hardtop Bel Air,0,12620,2019
1978,Ford,Fiesta 1.6,Hatchback,40000,610,2020
1995,Chevrolet,Silverado 1500,Standard Cab Pickup,170895,5800,2020
1998,Jeep,Cherokee,Suv,106328,4990,2019
1968,Pontiac,Catalina,Convertible,62260,10650,2020
1963,Pontiac,Grand Prix,Coupe,125006,8000,2019
1953,Chevrolet,3100,Single Cab Long Bed,111111,14580,2019
1974,Dodge,Charger,Coupe,100000,7350,2019
2011,Chevrolet,Avalanche,Crew Cab Pickup,68800,21000,2019
2002,Ford,Thunderbird,Convertible,87000,6920,2019
1966,Ford,F-100,Standard Cab Pickup,6363,3500,2019
1970,Mercedes-Benz,200-Series,Convertible,106794,54100,2019
1996,Ford,Bronco,Standard Cab Pickup,114000,16000,2019
1998,Jeep,Wrangler,Suv,72138,9900,2020
1990,Jeep,Wrangler,Suv,175157,9500,2020
1992,Jeep,Wrangler,Suv,130175,7810,2020
1940,Mercury,Other,Convertible,56462,4500,2019
1984,Oldsmobile,Omega,Coupe,66700,1950,2019
1986,Gmc,Other,Extended Cab Pickup,109000,2950,2019
1975,Oldsmobile,Eighty-Eight,Convertible,83500,7600,2019
1973,Chrysler,Newport,Hardtop Sedan,65000,4110,2019
1972,Ford,Bronco,Suv,79000,26900,2019
1973,Ford,Bronco,Suv,2000,29500,2019
1974,Ford,Bronco,Suv,500,40100,2019
1988,Gmc,Suburban,Suv,134900,6900,2020
1977,Ford,F-250,Standard Cab Pickup,138900,12600,2020
1985,Toyota,Land Cruiser,Suv,22699,5500,2020
1978,Gmc,Sierra 2500,Standard Cab Pickup,78999,6700,2020
1992,Ford,E-Series Van,Wagon,78000,6600,2020
2011,Audi,S5,Coupe,88000,8100,2019
1967,Pontiac,Bonneville,Sedan,57752,3700,2019
1979,Ford,F-350,Extended Cab Pickup,115900,9000,2019
1988,Ford,Bronco,Suv,201800,4150,2018
1975,Gmc,Sierra 2500,Standard Cab Pickup,77900,10100,2019
1977,Ford,F-250,Standard Cab Pickup,138500,7000,2019
1990,Toyota,Land Cruiser,Suv,151200,13110,2019
2004,Lincoln,Ls,Coupe,131852,1150,2019
2009,Ford,Crown Victoria,Sedan,93528,3500,2019
2009,Ford,Crown Victoria,Sedan,101080,1730,2020
2009,Ford,Crown Victoria,Sedan,65653,3870,2019
2009,Ford,Crown Victoria,Sedan,91675,1930,2019
2008,Kia,Sedona,Minivan,142276,1580,2019
2018,Audi,Q5,Suv,8033,35000,2019
2002,Toyota,Land Cruiser,Suv,247000,3950,2019
1981,Buick,Regal,Coupe,1,14000,2020
1987,Amc,Eagle,Wagon,137985,1580,2019
1991,Bmw,3-Series,Convertible,114220,9600,2019
1991,Bmw,5-Series,Sedan,56593,7100,2019
1969,Chevrolet,Camaro,Coupe,114000,40200,2019
1957,Volkswagen,Beetle - Classic,Coupe,88000,19900,2019
1926,Ford,Model T,Coupe,123456,8310,2019
1969,Chevrolet,Chevelle Ss,Other,31741,36900,2020
1964,Cadillac,Series 62,Coupe,0,520,2020
1966,Chevrolet,Impala,Convertible,72324,17400,2019
1972,Chevrolet,Chevelle,Other,87655,18700,2020
2003,Chevrolet,Corvette,Convertible,42000,19800,2019
1983,Oldsmobile,Cutlass,Coupe,85805,17800,2019
1995,Cadillac,Fleetwood,Sedan,16989,17200,2020
2008,Ford,Mustang,Coupe,4441,36900,2019
1962,Chevrolet,Impala,Coupe,3480,28900,2019
2010,Chevrolet,Camaro,Coupe,17200,20200,2019
1979,Pontiac,Firebird,Coupe,36291,12200,2019
1963,Chevrolet,Impala,Coupe,1,4100,2019
1965,Buick,Riviera,Coupe,96000,34900,2020
1956,Buick,Special,Other,63662,13200,2020
1962,Cadillac,Deville,Convertible,1,3040,2020
1975,Cadillac,Eldorado,Convertible,7400,6600,2019
1979,Ford,Thunderbird,Coupe,40600,9900,2019
1956,Chevrolet,Bel Air/150/210,Coupe,11111,500,2019
1977,Chevrolet,Blazer,Suv,112000,16900,2019
1993,Mazda,Mx-5 Miata,Convertible,54000,6500,2019
1956,Ford,Crown Victoria,Coupe,6397,37900,2020
1989,Mercedes-Benz,560 Sl Convertible,Convertible,91000,5550,2019
2000,Mazda,Mx-5 Miata,Convertible,19200,12600,2019
2012,Volkswagen,Sportwagen,Wagon,90000,800,2020
2015,Bmw,X5,Suv,35400,39450,2020
1969,Pontiac,Grand Prix,Coupe,65986,14100,2019
2000,Saturn,L-Series,Sedan,135641,800,2020
1977,Toyota,Celica,Coupe,34723,3150,2019
2009,Cadillac,Escalade,Suv,33082,27100,2020
1995,Ford,F-150,Pick Up,82000,6500,2019
2002,Ford,F-550,Extended Cab Pickup,179223,7100,2019
2006,Toyota,Tacoma,Extended Cab Pickup,288000,6000,2019
2005,Toyota,Tacoma,Extended Cab Pickup,268000,5750,2019
1951,Chevrolet,Other Pickups,Standard Cab Pickup,100000,5900,2020
1993,Acura,Integra,Hatchback,84106,6700,2019
1971,Pontiac,Trans Am,Coupe,136000,35900,2020
1973,Dodge,B300 Van,Extended Passenger Van,36000,4500,2019
2005,Chevrolet,Corvette,Coupe,68000,15860,2019
2012,Infiniti,Qx80,Suv,108000,13900,2020
1992,Cadillac,Brougham,Sedan,75000,7600,2020
1968,Chevrolet,Camaro,Coupe,111111,21700,2019
1967,Pontiac,Gto,Convertible,116500,23100,2020
1967,Chevrolet,Camaro,Convertible,109000,22000,2020
1970,Chevrolet,Chevelle,Convertible,140000,14000,2020
1971,Chevrolet,Chevelle,Convertible,75000,12600,2020
1969,Chevrolet,Impala,Convertible,100000,7450,2019
1989,Chevrolet,Camaro,Convertible,73000,8060,2020
1968,Pontiac,Gto,Convertible,100000,14500,2019
1963,Chevrolet,Impala,Convertible,100500,20500,2019
1969,Oldsmobile,442,Convertible,142000,25100,2020
1985,Chevrolet,C-10,Cab & Chassis,154524,4500,2019
1969,Volkswagen,Bus/Vanagon,Crew Cab Pickup,76495,9380,2020
1972,Chevrolet,Corvette,Convertible,33681,15650,2019
1982,Buick,Riviera,Convertible,90000,5300,2020
2014,Chevrolet,Corvette,Convertible,40255,26200,2020
2016,Chevrolet,Corvette,Coupe,9745,45300,2019
1966,Ford,Mustang,Coupe,999999,3050,2019
1994,Mitsubishi,3000Gt,Coupe,113236,1530,2020
2010,Mazda,3,Sedan,34000,2750,2020
2013,Bmw,328I Xdrive,Sedan,72200,3800,2020
1968,Chevrolet,C-10,Extended Crew Cab Pickup,1,55450,2019
1934,Ford,Coupe,Coupe,950,22900,2019
1986,Toyota,Mr2,Coupe,0,3000,2019
2002,Porsche,Boxster,Convertible,29785,10500,2019
2020,Lexus,Gx,Suv,959,56000,2020
1985,Chevrolet,Monte Carlo,Coupe,48390,13100,2020
2001,Porsche,Boxster,Convertible,108500,4000,2019
1981,Chevrolet,Corvette,Coupe,9205,13130,2019
1932,Ford,Other,Wagon,12290,20900,2020
2004,Nissan,350Z,Convertible,71470,9000,2019
1978,Ford,Mustang King Cobra,Hatchback,67000,16200,2020
1964,Ford,Galaxie,Coupe,100000,1900,2020
2003,Jeep,Grand Cherokee,Suv,172900,8000,2020
1988,Suzuki,Samurai,Convertible,75800,4050,2019
1997,Ford,Mustang,Coupe,33000,15100,2020
1967,Mercedes-Benz,300-Series,4Door,86000,5100,2019
1979,Mercedes-Benz,Sl-Class,Convertible,108000,10050,2019
1972,Mercedes-Benz,Sl-Class,Convertible,92600,5100,2019
1974,Bmw,2002,2Dr,53089,7500,2019
1967,Mercedes-Benz,300-Series,4Door,86000,5600,2019
1997,Honda,Civic,Hatchback,237091,550,2020
2006,Mercedes-Benz,E-Class,Sedan,121549,3200,2020
2006,Infiniti,G35,Sedan,129838,2900,2019
1979,Pontiac,Trans Am,Coupe,102000,25100,2019
1975,Chevrolet,Corvette,T Top,56000,2500,2019
1996,Gmc,P3500,Aluminum,354000,1530,2019
1997,Chevrolet,Camaro,Coupe,47000,8500,2019
2004,Porsche,911,Convertible,32866,26200,2019
1969,Chevrolet,Chevelle,Coupe,99999,36000,2020
1969,Chevrolet,Chevelle,Coupe,1800,38000,2020
1984,Chevrolet,Corvette,Coupe,18068,4550,2020
1971,Mercedes-Benz,Sl-Class,Convertible,61276,65300,2019
1990,Jeep,Wagoneer,Suv,176000,18100,2019
1973,Ford,F-100,Standard Cab Pickup,120,1900,2019
1960,Ford,Ranchero,Pick Up,1,600,2020
1967,Jaguar,420,Sedan,96250,500,2020
2004,Chevrolet,Impala,Sedan,193162,570,2019
1971,Rolls-Royce,Silver Shadow,Sedan,1,5930,2019
1932,Ford,Model 18,Sedan,8500,59000,2019
1999,Jeep,Cherokee,Suv,128562,2500,2019
1987,Chevrolet,Monte Carlo,Coupe,0,4000,2019
1969,Chevrolet,Camaro,Coupe,71037,30100,2019
1926,Ford,Model T,Coupe,0,7000,2019
2004,Pontiac,Gto,Coupe,20455,17000,2019
1982,Volkswagen,Bus/Vanagon,Standard Passenger Van,0,530,2020
1972,Chevrolet,Nova,Coupe,60000,15000,2019
1952,Plymouth,Other,Coupe,80000,6700,2019
1970,Ford,Mustang,Fastback,55220,3110,2020
2001,Mitsubishi,Eclipse,Hatchback,120000,1400,2019
1941,Ford,Other,Pick Up Truck,17500,15420,2019
1971,Cadillac,Eldorado,Convertible,74125,9000,2019
1987,Jaguar,Xj6,Sedan,160000,1930,2019
2004,Dodge,Viper,Convertible,24876,35000,2019
2006,Mazda,Mazda6,Sedan,276000,230,2019
2005,Hummer,H2,H2,279000,15000,2019
2019,Chevrolet,Camaro,Coupe,7825,25000,2020
2013,Porsche,Panamera,Coupe,60900,44900,2019
2017,Honda,Cr-V,Suv,32500,20080,2019
1964,Dodge,Other Pickups,Panel,63892,3250,2019
2002,Gmc,Sierra 1500,Standard Cab Pickup,207000,6400,2020
1940,Dodge,Other,Coupe,17896,10000,2020
1972,Plymouth,Barracuda,Coupe,99999,20300,2019
2005,Mini,Cooper,Hatchback,126075,2500,2020
1991,Honda,Accord,Sedan,390000,350,2020
1989,Mercedes-Benz,S-Class,Sedan,240000,2950,2019
1968,Chevrolet,Camaro,Coupe,99999,19000,2019
2008,Porsche,Boxster,Convertible,57500,26000,2020
2007,Subaru,Outback,Wagon,214000,1630,2020
1979,Ford,F-250,Extended Cab Pickup,85725,5700,2020
2018,Ford,F-550,Crew Cab Chassis-Cab,18052,55980,2020
1978,Ford,Bronco,Suv,1310,8600,2019
2007,Chevrolet,Cobalt,Coupe,131000,1030,2019
2014,Toyota,Prius V,Wagon,81000,9550,2020
1953,Chevrolet,Bel Air/150/210,Coupe,1234567,4650,2020
2004,Pontiac,Gto,Coupe,63000,9960,2020
1974,Volkswagen,Thing,4Dr Convertible,78700,10200,2019
1987,Chevrolet,Silverado 2500,Standard Cab Pickup,97500,5000,2019
1997,Nissan,D21,Standard Cab Pickup,82323,8450,2020
1969,Chevrolet,Blazer,Suv,51500,22100,2019
1972,Chevrolet,C10/K10,Pickup,2500,5600,2020
1979,Dodge,Other Pickups,Standard Cab Pickup,38175,19990,2019
1964,Chevrolet,Chevelle,Convertible,88450,18500,2020
1985,Chevrolet,C-10,Standard Cab Pickup,49000,3600,2020
1979,Ford,Mustang,Hatchback,10800,2500,2019
1984,Cadillac,Eldorado,Convertible,89763,6600,2020
2007,Hummer,H3,Suv,118488,7700,2019
2007,Jaguar,Xj8,Sedan,131523,4400,2019
1985,Mercedes-Benz,300-Series,Sedan,119896,10950,2020
2004,Volkswagen,Phaeton,Sedan,213481,710,2019
1984,Oldsmobile,Delta 88,Sedan,62800,4350,2020
2004,Mercedes-Benz,G55 Amg,Suv,171895,28000,2020
1996,Toyota,Tacoma,Extended Cab Pickup,293000,3550,2020
2002,Toyota,Tacoma,Extended Cab Pickup,213000,2900,2020
1928,Ford,Model A,Sedan,1000,16700,2019
1957,Chevrolet,Bel Air/150/210,Coupe,47779,50000,2019
1966,Chevrolet,Chevelle,Sedan,0,7000,2020
1996,Toyota,Celica,Hatchback,256000,920,2019
2004,Bmw,3-Series,Convertible,83000,5000,2020
2009,Toyota,Sienna,Minivan,224003,2750,2019
2015,Cadillac,Escalade,Suv,66500,40500,2019
1958,Mg,Mga,Video In Listing,15474,11990,2019
1996,Honda,Civic,Hatchback,220004,1010,2019
1993,Honda,Prelude,Coupe,230885,1320,2019
2015,Ferrari,458,Convertible,25000,159500,2020
1996,Chevrolet,Camaro,Coupe,93000,7750,2019
2007,Bmw,3-Series,Wagon,144650,3930,2020
1971,Chevrolet,Blazer,Convertible,65000,13500,2020
2003,Lexus,Ls,Sedan,175000,1730,2019
1994,Infiniti,Q45,Sedan,128446,750,2020
1989,Chevrolet,Camaro,Coupe,20000,21500,2020
2000,Chevrolet,Corvette,Coupe,174950,9350,2020
1965,Ford,Mustang,Convertible,38847,29800,2019
2015,Dodge,Challenger,Coupe,40609,17300,2020
2015,Toyota,Camry,Sedan,121717,9800,2019
1966,Ford,Mustang,Coupe,73000,10900,2019
1982,Datsun,Z-Series,Coupe,25603,19800,2020
2013,Lexus,Gx,Suv,64548,22100,2019
2014,Land Rover,Range Rover,Suv,49045,45780,2020
2013,Mercedes-Benz,S-Class,Sedan,50800,29300,2019
2013,Mercedes-Benz,S-Class,Sedan,41630,27890,2020
2012,Mercedes-Benz,Sls Amg,Convertible,15022,107780,2020
2010,Mini,Cooper S,Coupe,59800,7800,2020
1991,Porsche,911,Coupe,72300,99800,2019
1995,Porsche,911,Coupe,0,64000,2019
2013,Porsche,911,Coupe,21335,58100,2020
1984,Porsche,911,Coupe,100943,37500,2019
1991,Porsche,911,Coupe,121061,43900,2019
1993,Porsche,911,Coupe,81434,69800,2020
1990,Porsche,911,Coupe,100209,68800,2020
1990,Porsche,911,Coupe,106525,55780,2020
2008,Porsche,911,Coupe,27185,99800,2020
2011,Porsche,911,Coupe,13682,152500,2020
2007,Porsche,911,Coupe,55907,64890,2019
2007,Porsche,911,Coupe,12548,75000,2019
2014,Porsche,911,Coupe,30449,109500,2020
2014,Porsche,911,Coupe,23885,114600,2020
2015,Porsche,911,Coupe,18800,129800,2019
2014,Porsche,911,Coupe,28245,96900,2020
2004,Porsche,911,Convertible,92882,18780,2020
1991,Porsche,911,Convertible,73138,48800,2020
1990,Porsche,911,Coupe,56698,42500,2019
1993,Porsche,911,Convertible,63985,39900,2020
2006,Porsche,911,Convertible,75800,35200,2019
2008,Porsche,911,Convertible,41619,38500,2020
2008,Porsche,911,Convertible,54547,63780,2019
1984,Porsche,911,Convertible,127227,38910,2019
1989,Porsche,911,Convertible,67049,45890,2019
2010,Maserati,Quattroporte,Sedan,43542,22800,2020
2006,Dodge,Magnum,Wagon,185000,5800,2020
1994,Chevrolet,Camaro,Convertible,111500,6100,2020
2011,Toyota,Tacoma,Reg Cab,95862,9500,2020
2001,Mercedes-Benz,Slk-Class,Convertible,75000,2100,2020
2011,Saab,5-Sep,Sedan,66304,10000,2019
1990,Lexus,Ls400,Sedan,52000,9000,2020
2013,Toyota,Prius,Hatchback,271524,3650,2019
1969,Chevrolet,Camaro,Coupe,27213,58000,2020
1968,Ford,Mustang,Coupe,87911,3950,2020
1982,Jeep,Cj,Suv,58000,16150,2020
1985,Honda,Civic,Coupe,205103,710,2020
2008,Bmw,5-Series,Sedan,104174,6200,2020
1990,Honda,Crx,Coupe,284000,590,2019
1974,Rolls-Royce,Silver Shadow,Sedan,105443,5500,2019
1971,Dodge,Challenger,Convertible,86758,45000,2020
2011,Porsche,Cayenne,Suv,63707,19800,2020
1964,Buick,Riviera,Coupe,84000,15000,2020
2006,Nissan,350Z,Convertible,118150,6200,2020
1966,Ford,Thunderbird,Coupe,116000,2300,2020
1985,Nissan,Other Pickups,Standard Cab Pickup,97780,2800,2020
1951,Pontiac,Chieftain,Convertible,1010101,5600,2020
1956,Ford,F-100,Pick Up Truck,8500,17900,2019
2002,Chevrolet,Silverado 1500,Standard Cab Pickup,91020,11750,2020
1948,Diamond T,201 Pickup,Standard Cab Pickup,89658,12950,2020
1949,Diamond T,210,Standard Cab Pickup,88540,26500,2019
1954,Chevrolet,Other Pickups,Standard Cab Pickup,62457,7000,2020
1998,Nissan,Frontier,Extended Cab Pickup,53163,6600,2020
2006,Volkswagen,Golf,Hatchback,130028,4550,2020
2014,Ford,Mustang,Coupe,36100,28200,2020
2001,Hummer,H1,Wagon,74100,32200,2019
1989,Ford,Bronco,Suv,77721,3560,2019
1970,Porsche,911,Turbo,70000,10200,2019
1999,Ford,E-Series Van,Wagon,216000,1350,2019
1984,Mazda,Rx-7,Coupe,106640,6400,2019
1972,Chevrolet,Camaro,Coupe,100000,2500,2019
1965,Pontiac,Gto,Coupe,0,31600,2019
2014,Chrysler,200 Series,Sedan,130200,2750,2019
2002,Jaguar,Xk8,Coupe,109000,5430,2020
1986,Toyota,Mr2,Coupe,151072,1600,2020
1985,Ford,Thunderbird,Coupe,103000,2880,2019
1993,Land Rover,Defender,Suv,124000,25000,2020
1998,Bmw,Z3,Convertible,106000,6100,2020
1991,Ford,F-150,Standard Cab Pickup,86608,8500,2020
1980,Chevrolet,Camaro,Coupe,30000,9000,2020
1983,Mercedes-Benz,300-Series,Sedan,251860,1250,2019
1971,Ford,Mustang,Convertible,90000,13000,2019
2009,Cadillac,Escalade,Pickup,145000,10000,2019
1941,Packard,Model 1903,Sedan,58294,10200,2019
1952,Packard,250,Coupe,70293,8100,2020
2005,Acura,Tsx,Sedan,112000,4250,2019
2013,Jaguar,Xf,Sedan,46000,10700,2019
2008,Mercedes-Benz,Cl-Class,Coupe,103000,14900,2019
1958,Alfa Romeo,Spider,Convertible,53722,16110,2019
1968,Chevrolet,Camaro,Coupe,420,30600,2020
